dep;vaccin;jour;n_tot_dose1;n_tot_dose2;n_tot_dose3;n_tot_dose4;n_tot_rappel
01;1;2022-09-08;405111;395318;239547;42509;268051
01;2;2022-09-08;36183;44349;86692;3128;97830
01;3;2022-09-08;36699;27973;44;0;8
01;4;2022-09-08;8314;52;5;0;24
01;5;2022-09-08;2650;1710;28;9;45
01;6;2022-09-08;105;71;11;32;23
02;1;2022-09-08;324824;321145;219825;43105;235406
02;2;2022-09-08;44570;52114;81795;2541;91473
02;3;2022-09-08;38443;31847;36;0;9
02;4;2022-09-08;9456;34;7;0;14
02;5;2022-09-08;2575;1856;17;6;25
02;6;2022-09-08;53;37;3;1;7
03;1;2022-09-08;214084;212800;142791;33591;150386
03;2;2022-09-08;30713;35199;64700;1614;69883
03;3;2022-09-08;21455;17062;15;0;4
03;4;2022-09-08;4971;13;0;0;2
03;5;2022-09-08;1395;977;22;3;26
03;6;2022-09-08;34;32;3;2;5
04;1;2022-09-08;95503;93992;64342;12797;69619
04;2;2022-09-08;10766;12047;17986;474;20230
04;3;2022-09-08;10118;8197;9;0;6
04;4;2022-09-08;2938;8;0;0;3
04;5;2022-09-08;247;151;7;1;9
04;6;2022-09-08;80;60;7;9;11
05;1;2022-09-08;88668;85329;49030;11034;53900
05;2;2022-09-08;8971;11170;24827;397;27965
05;3;2022-09-08;9789;7898;14;0;3
05;4;2022-09-08;1934;6;3;0;4
05;5;2022-09-08;291;190;4;0;5
05;6;2022-09-08;30;20;2;1;8
06;1;2022-09-08;648854;634208;422032;88378;460996
06;2;2022-09-08;124307;133746;163315;6070;184190
06;3;2022-09-08;64504;47681;72;0;68
06;4;2022-09-08;20470;290;62;0;200
06;5;2022-09-08;1872;1291;86;24;112
06;6;2022-09-08;390;314;86;60;107
07;1;2022-09-08;188172;186956;132304;24190;144757
07;2;2022-09-08;35041;37564;41404;3432;46315
07;3;2022-09-08;20845;16819;31;0;7
07;4;2022-09-08;5795;14;5;0;7
07;5;2022-09-08;797;543;6;1;10
07;6;2022-09-08;71;53;8;4;10
08;1;2022-09-08;168253;166541;110205;25273;117367
08;2;2022-09-08;19569;23849;45701;442;50671
08;3;2022-09-08;20786;16461;8;0;3
08;4;2022-09-08;4146;13;0;0;2
08;5;2022-09-08;1060;808;11;0;11
08;6;2022-09-08;17;15;8;3;3
09;1;2022-09-08;88601;88213;65462;12689;68401
09;2;2022-09-08;16005;16783;18337;845;19675
09;3;2022-09-08;7269;5724;1;0;1
09;4;2022-09-08;2463;6;0;0;1
09;5;2022-09-08;316;188;4;1;6
09;6;2022-09-08;33;23;2;6;5
10;1;2022-09-08;184503;181350;113111;25334;119922
10;2;2022-09-08;29944;34636;59868;1563;65674
10;3;2022-09-08;17660;13802;6;0;4
10;4;2022-09-08;4557;17;6;0;5
10;5;2022-09-08;1701;1169;4;0;7
10;6;2022-09-08;32;32;1;0;2
11;1;2022-09-08;225009;223381;153663;33996;161462
11;2;2022-09-08;30134;33955;56217;1938;61143
11;3;2022-09-08;25761;21456;18;0;6
11;4;2022-09-08;7988;42;4;0;17
11;5;2022-09-08;766;541;11;21;14
11;6;2022-09-08;113;89;5;5;11
12;1;2022-09-08;174193;172205;123923;22314;130355
12;2;2022-09-08;25943;27854;36703;890;39715
12;3;2022-09-08;15392;12804;15;0;8
12;4;2022-09-08;3784;25;1;0;4
12;5;2022-09-08;514;309;6;7;8
12;6;2022-09-08;78;54;6;9;11
13;1;2022-09-08;1178351;1145197;815925;127498;901582
13;2;2022-09-08;196413;197716;162951;5671;186820
13;3;2022-09-08;90324;69443;115;0;98
