reg;vaccin;jour;n_tot_dose1;n_tot_dose2;n_tot_dose3;n_tot_dose4;n_tot_rappel
01;1;2022-09-08;124178;115464;74687;5463;78740
01;2;2022-09-08;21856;19887;8040;152;8696
01;3;2022-09-08;3823;2403;2;0;1
01;4;2022-09-08;335;14;6;0;10
01;5;2022-09-08;168;119;11;0;14
01;6;2022-09-08;349;191;19;10;31
02;1;2022-09-08;144111;135373;86347;5695;90209
02;2;2022-09-08;1079;1011;1507;26;1641
02;3;2022-09-08;2175;1382;1;0;0
02;4;2022-09-08;2276;157;22;0;162
02;5;2022-09-08;209;156;6;0;6
02;6;2022-09-08;335;213;3;0;11
03;1;2022-09-08;97777;82693;40270;1764;44495
03;2;2022-09-08;746;772;1021;8;1167
03;3;2022-09-08;181;102;0;0;0
03;4;2022-09-08;180;9;6;0;14
03;5;2022-09-08;600;451;1;0;1
03;6;2022-09-08;368;202;2;0;27
04;1;2022-09-08;557216;546567;352592;20232;364032
04;2;2022-09-08;1832;1840;3177;40;3482
04;3;2022-09-08;489;243;0;0;2
04;4;2022-09-08;17128;169;26;1;147
04;5;2022-09-08;1498;1120;16;0;21
04;6;2022-09-08;669;447;12;5;31
06;1;2022-09-08;161487;134324;42722;506;47202
06;2;2022-09-08;532;597;823;10;968
06;3;2022-09-08;86;45;1;0;1
06;4;2022-09-08;91;1;0;0;1
06;5;2022-09-08;242;144;5;0;5
06;6;2022-09-08;8;4;0;1;0
07;1;2022-09-08;7784;7519;5008;213;5473
07;2;2022-09-08;575;561;308;10;382
07;3;2022-09-08;143;99;2;0;2
07;4;2022-09-08;304;8;0;0;6
07;5;2022-09-08;14;10;0;0;0
07;6;2022-09-08;13;11;0;0;0
08;1;2022-09-08;13476;11829;5927;403;6440
08;2;2022-09-08;860;770;321;8;361
08;3;2022-09-08;208;119;1;0;1
08;4;2022-09-08;89;1;0;0;1
08;5;2022-09-08;53;44;1;0;1
08;6;2022-09-08;21;10;1;5;1
11;1;2022-09-08;7666427;7332795;4330491;791940;4835422
11;2;2022-09-08;915044;1061002;1807183;47396;2058293
11;3;2022-09-08;654916;467156;519;0;492
11;4;2022-09-08;122422;1183;302;12;787
11;5;2022-09-08;47782;30126;512;181;931
11;6;2022-09-08;2201;1658;282;231;439
24;1;2022-09-08;1593807;1582571;1076636;258554;1136875
24;2;2022-09-08;236593;273263;468487;18247;510164
24;3;2022-09-08;187761;154050;197;0;51
24;4;2022-09-08;46664;114;24;0;48
24;5;2022-09-08;11323;7808;121;39;153
24;6;2022-09-08;444;327;25;20;41
27;1;2022-09-08;1662317;1650019;1160885;239504;1249769
27;2;2022-09-08;284679;312667;407453;16051;449019
27;3;2022-09-08;189282;149516;186;0;61
27;4;2022-09-08;44881;167;40;0;79
27;5;2022-09-08;10286;6797;90;18;124
27;6;2022-09-08;551;396;47;48;61
28;1;2022-09-08;2071699;2064812;1322280;303234;1397447
28;2;2022-09-08;329686;378890;706996;18314;765244
28;3;2022-09-08;252009;201649;122;0;39
